,Year,Competition,Round,Rank,Name,Result
0,2025,IFSC World Cup Wujiang,F,1,Sorato Anraku,TOP
1,2025,IFSC World Cup Wujiang,F,2,Neo Suzuki,40+
2,2025,IFSC World Cup Wujiang,F,3,Alberto Ginés López,39+
3,2025,IFSC World Cup Wujiang,F,4,Satone Yoshida,33
4,2025,IFSC World Cup Wujiang,F,5,Yufei Pan,32+
5,2025,IFSC World Cup Wujiang,F,6,Luka Potocar,32
6,2025,IFSC World Cup Wujiang,F,7,Filip Schenk,28+
7,2025,IFSC World Cup Wujiang,F,8,Yannick Flohé,28+
8,2025,IFSC World Cup Bali,F,1,Satone Yoshida,42
9,2025,IFSC World Cup Bali,F,2,Max Bertone,41
10,2025,IFSC World Cup Bali,F,3,Alberto Ginés López,39+
11,2025,IFSC World Cup Bali,F,4,Yannick Flohé,30+
12,2025,IFSC World Cup Bali,F,5,Dohyun Lee,30
13,2025,IFSC World Cup Bali,F,6,Neo Suzuki,29+
14,2025,IFSC World Cup Bali,F,7,Shion Omata,16+
15,2025,IFSC World Cup Bali,F,8,Muhammad Rizky Syahrafli Simatupang,12
16,2025,IFSC World Cup Innsbruck,F,1,Neo Suzuki,TOP
17,2025,IFSC World Cup Innsbruck,F,2,Toby Roberts,TOP
18,2025,IFSC World Cup Innsbruck,F,3,Alberto Ginés López,TOP
19,2025,IFSC World Cup Innsbruck,F,4,Satone Yoshida,TOP
20,2025,IFSC World Cup Innsbruck,F,5,Yannick Flohé,TOP
21,2025,IFSC World Cup Innsbruck,F,6,Max Bertone,40
22,2025,IFSC World Cup Innsbruck,F,7,Dohyun Lee,38+
23,2025,IFSC World Cup Innsbruck,F,8,Jesse Grupper,33
24,2025,IFSC World Cup Chamonix,F,1,Sorato Anraku,TOP
25,2025,IFSC World Cup Chamonix,F,2,Alberto Ginés López,43+
26,2025,IFSC World Cup Chamonix,F,3,Filip Schenk,43+
27,2025,IFSC World Cup Chamonix,F,4,Satone Yoshida,39+
28,2025,IFSC World Cup Chamonix,F,5,Colin Duffy,38+
29,2025,IFSC World Cup Chamonix,F,6,Jonas Utelli,36
30,2025,IFSC World Cup Chamonix,F,7,Luka Potocar,31
31,2025,IFSC World Cup Chamonix,F,8,Shion Omata,29+
32,2025,IFSC World Cup Comunidad de Madrid,F,1,Dohyun Lee,40+
33,2025,IFSC World Cup Comunidad de Madrid,F,2,Alberto Ginés López,40
34,2025,IFSC World Cup Comunidad de Madrid,F,3,Satone Yoshida,39+
35,2025,IFSC World Cup Comunidad de Madrid,F,4,Colin Duffy,39+
36,2025,IFSC World Cup Comunidad de Madrid,F,5,Sorato Anraku,39
37,2025,IFSC World Cup Comunidad de Madrid,F,6,Shion Omata,38+
38,2025,IFSC World Cup Comunidad de Madrid,F,7,Neo Suzuki,33
39,2025,IFSC World Cup Comunidad de Madrid,F,8,Jakub Konecny,30+
40,2025,IFSC World Cup Koper,F,1,Sorato Anraku,48+
41,2025,IFSC World Cup Koper,F,2,Alberto Ginés López,47+
42,2025,IFSC World Cup Koper,F,3,Toby Roberts,46+
43,2025,IFSC World Cup Koper,F,4,Satone Yoshida,45
44,2025,IFSC World Cup Koper,F,5,Jakob Schubert,43
45,2025,IFSC World Cup Koper,F,6,Putra Tri Ramadani,40+
46,2025,IFSC World Cup Koper,F,7,Adam Ondra,35+
47,2025,IFSC World Cup Koper,F,8,Neo Suzuki,10+
48,2019,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,1,Sascha Lehmann,Top
49,2019,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,2,Yufei Pan,Top
50,2019,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,3,Alexander Megos,Top
51,2019,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,4,Domen Skofic,39+
52,2019,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,5,Meichi Narasaki,39+
53,2019,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,6,Tomoa Narasaki,34+
54,2019,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,7,Yuki Hada,22
55,2019,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,8,Kokoro Fujii,8
56,2019,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA)",F,1,Adam Ondra,47+
57,2019,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA)",F,2,Alexander Megos,44
58,2019,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA)",F,3,Jakob Schubert,43+
59,2019,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA)",F,4,William Bosi,39+
60,2019,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA)",F,5,Alberto Ginés López,33+
61,2019,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA)",F,6,Martin Stranik,31+
62,2019,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA)",F,7,Sean Mccoll,25+
63,2019,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA)",F,8,Kai Harada,22
64,2019,IFSC Climbing Worldcup (L) - Briançon (FRA),F,1,Hidemasa Nishida,39+
65,2019,IFSC Climbing Worldcup (L) - Briançon (FRA),F,2,Hiroto Shimizu,38+
66,2019,IFSC Climbing Worldcup (L) - Briançon (FRA),F,3,Shuta Tanaka,38+
67,2019,IFSC Climbing Worldcup (L) - Briançon (FRA),F,4,William Bosi,38
68,2019,IFSC Climbing Worldcup (L) - Briançon (FRA),F,5,Sean Mccoll,38
69,2019,IFSC Climbing Worldcup (L) - Briançon (FRA),F,6,Sean Bailey,34+
70,2019,IFSC Climbing Worldcup (L) - Briançon (FRA),F,7,Domen Skofic,34+
71,2019,IFSC Climbing Worldcup (L) - Briançon (FRA),F,8,Marcello Bombardi,34+
72,2019,IFSC Climbing Worldcup (L) - Kranj (SLO),F,1,Adam Ondra,Top
73,2019,IFSC Climbing Worldcup (L) - Kranj (SLO),F,2,Kai Harada,32
74,2019,IFSC Climbing Worldcup (L) - Kranj (SLO),F,3,Alberto Ginés López,31.5+
75,2019,IFSC Climbing Worldcup (L) - Kranj (SLO),F,4,Sean Mccoll,30+
76,2019,IFSC Climbing Worldcup (L) - Kranj (SLO),F,5,Kokoro Fujii,27+
77,2019,IFSC Climbing Worldcup (L) - Kranj (SLO),F,6,Stefano Ghisolfi,25+
78,2019,IFSC Climbing Worldcup (L) - Kranj (SLO),F,7,Jakob Schubert,12+
79,2019,IFSC Climbing Worldcup (L) - Kranj (SLO),F,8,Martin Stranik,12+
80,2017,"IFSC Climbing Worldcup (L,S) - Villars (SUI)",F,1,Romain Desgranges,41
81,2017,"IFSC Climbing Worldcup (L,S) - Villars (SUI)",F,2,Domen Skofic,37
82,2017,"IFSC Climbing Worldcup (L,S) - Villars (SUI)",F,3,Fedir Samoilov,35+
83,2017,"IFSC Climbing Worldcup (L,S) - Villars (SUI)",F,4,Jan Hojer,35+
84,2017,"IFSC Climbing Worldcup (L,S) - Villars (SUI)",F,5,Yuki Hada,35
85,2017,"IFSC Climbing Worldcup (L,S) - Villars (SUI)",F,6,Christoph Hanke,34
86,2017,"IFSC Climbing Worldcup (L,S) - Villars (SUI)",F,7,Jorg Verhoeven,33+
87,2017,"IFSC Climbing Worldcup (L,S) - Villars (SUI)",F,8,Sean Bailey,32
88,2017,IFSC Climbing Worldcup (L) - Chamonix (FRA),F,1,Marcello Bombardi,Top
89,2017,IFSC Climbing Worldcup (L) - Chamonix (FRA),F,2,Keiichiro Korenaga,Top
90,2017,IFSC Climbing Worldcup (L) - Chamonix (FRA),F,3,Yuki Hada,Top
91,2017,IFSC Climbing Worldcup (L) - Chamonix (FRA),F,4,Romain Desgranges,Top
92,2017,IFSC Climbing Worldcup (L) - Chamonix (FRA),F,5,Loïc Timmermans,42+
93,2017,IFSC Climbing Worldcup (L) - Chamonix (FRA),F,6,Sean Mccoll,42
94,2017,IFSC Climbing Worldcup (L) - Chamonix (FRA),F,7,Stefano Ghisolfi,40+
95,2017,IFSC Climbing Worldcup (L) - Chamonix (FRA),F,8,Yuval Shemla,35+
96,2017,IFSC Climbing Worldcup (L) - Briançon (FRA),F,1,Romain Desgranges,41
97,2017,IFSC Climbing Worldcup (L) - Briançon (FRA),F,2,Sean Mccoll,39
98,2017,IFSC Climbing Worldcup (L) - Briançon (FRA),F,3,Stefano Ghisolfi,35
99,2017,IFSC Climbing Worldcup (L) - Briançon (FRA),F,4,Masahiro Higuchi,29
100,2017,IFSC Climbing Worldcup (L) - Briançon (FRA),F,5,Sean Bailey,28+
101,2017,IFSC Climbing Worldcup (L) - Briançon (FRA),F,6,Marcello Bombardi,27
102,2017,IFSC Climbing Worldcup (L) - Briançon (FRA),F,7,Naoki Shimatani,22.5
103,2017,IFSC Climbing Worldcup (L) - Briançon (FRA),F,8,Sebastian Halenke,13+
104,2017,"IFSC Climbing Worldcup (L,S) - Arco (ITA)",F,1,Jakob Schubert,39
105,2017,"IFSC Climbing Worldcup (L,S) - Arco (ITA)",F,2,Adam Ondra,38+
106,2017,"IFSC Climbing Worldcup (L,S) - Arco (ITA)",F,3,Max Rudigier,38+
107,2017,"IFSC Climbing Worldcup (L,S) - Arco (ITA)",F,4,Yoshiyuki Ogata,34+
108,2017,"IFSC Climbing Worldcup (L,S) - Arco (ITA)",F,5,Keiichiro Korenaga,33+
109,2017,"IFSC Climbing Worldcup (L,S) - Arco (ITA)",F,6,Thomas Joannes,26+
110,2017,"IFSC Climbing Worldcup (L,S) - Arco (ITA)",F,7,Hannes Puman,26
111,2017,"IFSC Climbing Worldcup (L,S) - Arco (ITA)",F,8,Alexander Megos,11+
112,2017,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR)",F,1,Romain Desgranges,47+
113,2017,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR)",F,2,Stefano Ghisolfi,42+
114,2017,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR)",F,3,Jakob Schubert,42+
115,2017,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR)",F,4,Domen Skofic,42+
116,2017,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR)",F,5,Thomas Joannes,42
117,2017,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR)",F,6,Sean Bailey,39+
118,2017,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR)",F,7,Max Rudigier,38
119,2017,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR)",F,8,Ramón Julian  Puigblanque,24+
120,2017,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,1,Stefano Ghisolfi,Top
121,2017,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,2,Tomoa Narasaki,34
122,2017,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,3,Hanwool Kim,30+
123,2017,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,4,Domen Skofic,30+
124,2017,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,5,Romain Desgranges,30+
125,2017,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,6,Jongwon Chon,30+
126,2017,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,7,Yoshiyuki Ogata,27+
127,2017,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,8,Keiichiro Korenaga,24+
128,2017,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN)",F,1,Keiichiro Korenaga,38+
129,2017,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN)",F,2,Tomoa Narasaki,34
130,2017,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN)",F,3,Yufei Pan,33
131,2017,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN)",F,4,Jongwon Chon,31+
132,2017,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN)",F,5,Fedir Samoilov,30+
133,2017,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN)",F,6,Kokoro Fujii,29+
134,2017,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN)",F,7,Stefano Ghisolfi,26+
135,2017,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN)",F,8,Haibin Qu,17+
136,2017,IFSC Climbing Worldcup (L) - Kranj (SLO),F,1,Jakob Schubert,Top
137,2017,IFSC Climbing Worldcup (L) - Kranj (SLO),F,2,Alexander Megos,38+
138,2017,IFSC Climbing Worldcup (L) - Kranj (SLO),F,3,Dmitrii Fakirianov,36
139,2017,IFSC Climbing Worldcup (L) - Kranj (SLO),F,4,Domen Skofic,33+
140,2017,IFSC Climbing Worldcup (L) - Kranj (SLO),F,5,Stefano Ghisolfi,32+
141,2017,IFSC Climbing Worldcup (L) - Kranj (SLO),F,6,Francesco Vettorata,31+
142,2017,IFSC Climbing Worldcup (L) - Kranj (SLO),F,7,Marcello Bombardi,31
143,2017,IFSC Climbing Worldcup (L) - Kranj (SLO),F,8,Jan Hojer,31
144,2016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA)",F,1,Domen Skofic,51
145,2016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA)",F,2,Stefano Ghisolfi,48+
146,2016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA)",F,3,Jakob Schubert,48
147,2016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA)",F,4,Gautier Supper,48
148,2016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA)",F,5,Romain Desgranges,47
149,2016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA)",F,6,Sebastian Halenke,46+
150,2016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA)",F,7,Sean Mccoll,46+
151,2016,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA)",F,8,Francesco Vettorata,43+
152,2016,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,1,Sean Mccoll,28+
153,2016,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,2,Keiichiro Korenaga,25+
154,2016,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,3,Thomas Joannes,25+
155,2016,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,4,Sean Bailey,24+
156,2016,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,5,Urban Primozic,22
157,2016,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,6,Jakob Schubert,19
158,2016,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,7,Masahiro Higuchi,19
159,2016,"IFSC Climbing Worldcup (L, S) - Villars (SUI)",F,8,Kokoro Fujii,17
160,2016,IFSC Climbing Worldcup (L) - Briançon (FRA),F,1,Domen Skofic,37+
161,2016,IFSC Climbing Worldcup (L) - Briançon (FRA),F,2,Romain Desgranges,37
162,2016,IFSC Climbing Worldcup (L) - Briançon (FRA),F,3,Sean Mccoll,35+
163,2016,IFSC Climbing Worldcup (L) - Briançon (FRA),F,4,Gautier Supper,34
164,2016,IFSC Climbing Worldcup (L) - Briançon (FRA),F,5,Masahiro Higuchi,24+
165,2016,IFSC Climbing Worldcup (L) - Briançon (FRA),F,6,Sascha Lehmann,24
166,2016,IFSC Climbing Worldcup (L) - Briançon (FRA),F,7,Urban Primozic,20+
167,2016,IFSC Climbing Worldcup (L) - Briançon (FRA),F,8,Jakob Schubert,16
168,2016,IFSC Climbing Worldcup (L) - Imst (AUT),F,1,Domen Skofic,53+
169,2016,IFSC Climbing Worldcup (L) - Imst (AUT),F,2,Jakob Schubert,53+
170,2016,IFSC Climbing Worldcup (L) - Imst (AUT),F,3,Gautier Supper,50
171,2016,IFSC Climbing Worldcup (L) - Imst (AUT),F,4,Romain Desgranges,49+
172,2016,IFSC Climbing Worldcup (L) - Imst (AUT),F,5,Sebastian Halenke,49+
173,2016,IFSC Climbing Worldcup (L) - Imst (AUT),F,6,Stefano Ghisolfi,45+
174,2016,IFSC Climbing Worldcup (L) - Imst (AUT),F,7,Ramón Julian  Puigblanque,43+
175,2016,IFSC Climbing Worldcup (L) - Imst (AUT),F,8,Hanwool Kim,33
176,2016,"IFSC Climbing Worldcup (L, S) - Arco (ITA)",F,1,Romain Desgranges,44+
177,2016,"IFSC Climbing Worldcup (L, S) - Arco (ITA)",F,2,Jakob Schubert,44+
178,2016,"IFSC Climbing Worldcup (L, S) - Arco (ITA)",F,3,Dmitrii Fakirianov,42
179,2016,"IFSC Climbing Worldcup (L, S) - Arco (ITA)",F,4,Domen Skofic,39+
180,2016,"IFSC Climbing Worldcup (L, S) - Arco (ITA)",F,5,Adam Ondra,39+
181,2016,"IFSC Climbing Worldcup (L, S) - Arco (ITA)",F,6,Sebastian Halenke,34+
182,2016,"IFSC Climbing Worldcup (L, S) - Arco (ITA)",F,7,Francesco Vettorata,32+
183,2016,"IFSC Climbing Worldcup (L, S) - Arco (ITA)",F,8,Ramón Julian  Puigblanque,30+
184,2016,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN)",F,1,Stefano Ghisolfi,39
185,2016,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN)",F,2,Dmitrii Fakirianov,37+
186,2016,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN)",F,3,Jakob Schubert,37+
187,2016,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN)",F,4,Gautier Supper,33+
188,2016,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN)",F,5,Romain Desgranges,32+
189,2016,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN)",F,6,Thomas Joannes,32
190,2016,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN)",F,7,Masahiro Higuchi,25+
191,2016,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN)",F,8,Hanwool Kim,11+
192,2016,IFSC Climbing Worldcup (L) - Kranj (SLO),F,1,Sebastian Halenke,37
193,2016,IFSC Climbing Worldcup (L) - Kranj (SLO),F,2,Domen Skofic,23+
194,2016,IFSC Climbing Worldcup (L) - Kranj (SLO),F,3,Jakob Schubert,20
195,2016,IFSC Climbing Worldcup (L) - Kranj (SLO),F,4,Stefano Ghisolfi,20
196,2016,IFSC Climbing Worldcup (L) - Kranj (SLO),F,5,Dmitrii Fakirianov,20
197,2016,IFSC Climbing Worldcup (L) - Kranj (SLO),F,6,Urban Primozic,20
198,2016,IFSC Climbing Worldcup (L) - Kranj (SLO),F,7,Romain Desgranges,19+
199,2016,IFSC Climbing Worldcup (L) - Kranj (SLO),F,8,Yuki Hada,15+
200,2015,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,1,Ramón Julian  Puigblanque,53+
201,2015,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,2,Adam Ondra,52+
202,2015,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,3,Sebastian Halenke,52
203,2015,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,4,Romain Desgranges,51+
204,2015,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,5,Gautier Supper,43+
205,2015,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,6,Jakob Schubert,39+
206,2015,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,7,Stefano Ghisolfi,38+
207,2015,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,8,Dmitrii Fakirianov,29+
208,2015,IFSC Climbing Worldcup (L) - Briançon (FRA),F,1,Gautier Supper,49+
209,2015,IFSC Climbing Worldcup (L) - Briançon (FRA),F,2,Minoru Nakano,43+
210,2015,IFSC Climbing Worldcup (L) - Briançon (FRA),F,3,Jakob Schubert,42+
211,2015,IFSC Climbing Worldcup (L) - Briançon (FRA),F,4,Dmitrii Fakirianov,42
