,Year,Competition,Round,Rank,Name,Result
0,2025,IFSC World Cup Wujiang,Q,1,Sorato Anraku,7.75  TOP (1)R1 TOP (1)R2
1,2025,IFSC World Cup Wujiang,Q,1,Sam Avezou,7.75  TOP (1)R1 TOP (1)R2
2,2025,IFSC World Cup Wujiang,Q,1,Max Bertone,7.75  TOP (1)R1 TOP (1)R2
3,2025,IFSC World Cup Wujiang,Q,1,Alberto Ginés López,7.75  TOP (1)R1 TOP (1)R2
4,2025,IFSC World Cup Wujiang,Q,1,Luka Potocar,7.75  TOP (1)R1 TOP (1)R2
5,2025,IFSC World Cup Wujiang,Q,1,Toby Roberts,7.75  TOP (1)R1 TOP (1)R2
6,2025,IFSC World Cup Wujiang,Q,1,Neo Suzuki,7.75  TOP (1)R1 TOP (1)R2
7,2025,IFSC World Cup Wujiang,Q,1,Hannes Van Duysen,7.75  TOP (1)R1 TOP (1)R2
8,2025,IFSC World Cup Wujiang,Q,1,Satone Yoshida,7.75  TOP (1)R1 TOP (1)R2
9,2025,IFSC World Cup Wujiang,Q,10,Dohyun Lee,10.95  TOP (1)R1 37+ (20)R2
10,2025,IFSC World Cup Wujiang,Q,11,Yufei Pan,12.04  41+ (12)R1 TOP (1)R2
11,2025,IFSC World Cup Wujiang,Q,11,Hiroto Shimizu,12.04  41+ (12)R1 TOP (1)R2
12,2025,IFSC World Cup Wujiang,Q,11,Giorgio Tomatis,12.04  41+ (12)R1 TOP (1)R2
13,2025,IFSC World Cup Wujiang,Q,14,Taisei Homma,12.73  TOP (1)R1 32+ (26)R2
14,2025,IFSC World Cup Wujiang,Q,15,Sascha Lehmann,13.78  40+ (18)R1 TOP (1)R2
15,2025,IFSC World Cup Wujiang,Q,15,Giovanni Placci,13.78  40+ (18)R1 TOP (1)R2
16,2025,IFSC World Cup Wujiang,Q,17,Yannick Flohé,14.66  40 (21)R1 TOP (1)R2
17,2025,IFSC World Cup Wujiang,Q,18,Nino Grünenfelder,16.43  39+ (23)R1 TOP (1)R2
18,2025,IFSC World Cup Wujiang,Q,18,Yannick Nagel,16.43  39+ (23)R1 TOP (1)R2
19,2025,IFSC World Cup Wujiang,Q,20,Jesse Grupper,20.37  35+ (41)R1 TOP (1)R2
20,2025,IFSC World Cup Wujiang,Q,21,Shion Omata,20.45  40+ (18)R1 35+ (21)R2
21,2025,IFSC World Cup Wujiang,Q,22,Joonha Shin,20.86  41+ (12)R1 32 (29)R2
22,2025,IFSC World Cup Wujiang,Q,22,Jonas Utelli,20.86  41+ (12)R1 32 (29)R2
23,2025,IFSC World Cup Wujiang,Q,24,Filip Schenk,21.91  30 (48)R1 TOP (1)R2
24,2025,IFSC World Cup Wujiang,Q,25,Ties Vancraeynest,24.37  39+ (23)R1 35+ (21)R2
25,2025,IFSC World Cup Wujiang,Q,26,Philipp Martin,26.79  41+ (12)R1 25+ (49)R2
26,2025,IFSC World Cup Wujiang,Q,27,Hyunseung Noh,27.0  39+ (23)R1 32+ (26)R2
27,2025,IFSC World Cup Wujiang,Q,28,Martin Stranik,28.0  39 (32)R1 35 (24)R2
28,2025,IFSC World Cup Wujiang,Q,29,Sebastian Halenke,28.46  39+ (23)R1 32 (29)R2
29,2025,IFSC World Cup Wujiang,Q,30,Stefan Scherz,29.66  36 (40)R1 35+ (21)R2
30,2025,IFSC World Cup Wujiang,Q,31,Christoph Hanke,30.07  39+ (23)R1 30+ (33)R2
31,2025,IFSC World Cup Wujiang,Q,32,Muhammad Rizky Syahrafli Simatupang,30.91  36+ (39)R1 35 (24)R2
32,2025,IFSC World Cup Wujiang,Q,33,Lukas Mokrolusky,31.28  40 (21)R1 27 (45)R2
33,2025,IFSC World Cup Wujiang,Q,34,Victor Baudrand,32.24  39+ (23)R1 28+ (35)R2
34,2025,IFSC World Cup Wujiang,Q,34,Victor Guillermin,32.24  39+ (23)R1 28+ (35)R2
35,2025,IFSC World Cup Wujiang,Q,34,Joaquin Urrutia,32.24  39+ (23)R1 28+ (35)R2
36,2025,IFSC World Cup Wujiang,Q,37,Declan Osgood,32.74  38+ (33)R1 31 (32)R2
37,2025,IFSC World Cup Wujiang,Q,38,Nicolas Collin,33.5  38+ (33)R1 30+ (33)R2
38,2025,IFSC World Cup Wujiang,Q,39,Samuel Butterworth,36.37  29+ (49)R1 32+ (26)R2
39,2025,IFSC World Cup Wujiang,Q,40,Auswin Aueareechit,37.23  37+ (35)R1 28+ (35)R2
40,2025,IFSC World Cup Wujiang,Q,40,Sergey Lakhno,37.23  37+ (35)R1 28+ (35)R2
41,2025,IFSC World Cup Wujiang,Q,42,Darius Râpă,40.42  37 (38)R1 28 (43)R2
42,2025,IFSC World Cup Wujiang,Q,43,Simon Potucek,41.62  31+ (44)R1 28+ (35)R2
43,2025,IFSC World Cup Wujiang,Q,43,Lihao Yang,41.62  31+ (44)R1 28+ (35)R2
44,2025,IFSC World Cup Wujiang,Q,45,Jinwei Yao,42.54  30+ (47)R1 28+ (35)R2
45,2025,IFSC World Cup Wujiang,Q,46,Yongchen Chen,43.5  32+ (43)R1 27+ (44)R2
46,2025,IFSC World Cup Wujiang,Q,47,Kibeom Kwon,44.4  35+ (41)R1 26+ (47)R2
47,2025,IFSC World Cup Wujiang,Q,48,Jan Stipek,47.05  37+ (35)R1 6 (61)R2
48,2025,IFSC World Cup Wujiang,Q,49,Musauwir Musauwir,48.14  31+ (44)R1 22+ (51)R2
49,2025,IFSC World Cup Wujiang,Q,50,Qun Tao Ke,48.17  28 (51)R1 27 (45)R2
50,2025,IFSC World Cup Wujiang,Q,51,Luke Goh Wen Bin,50.88  25 (54)R1 26+ (47)R2
51,2025,IFSC World Cup Wujiang,Q,52,James Jenkins,51.75  26 (52)R1 22+ (51)R2
52,2025,IFSC World Cup Wujiang,Q,53,Edvards Gruzitis,53.58  23+ (57)R1 25+ (49)R2
53,2025,IFSC World Cup Wujiang,Q,54,Chi-Fung Au,53.74  25+ (53)R1 21+ (53)R2
54,2025,IFSC World Cup Wujiang,Q,55,Yuanliang Ma,54.77  28+ (50)R1 11 (60)R2
55,2025,IFSC World Cup Wujiang,Q,56,Gerald Bayo Verosil,55.24  24+ (56)R1 21+ (53)R2
56,2025,IFSC World Cup Wujiang,Q,57,Jintao Luo,56.22  23+ (57)R1 21+ (53)R2
57,2025,IFSC World Cup Wujiang,Q,58,Azat Maikotov,57.5  23+ (57)R1 20+ (57)R2
58,2025,IFSC World Cup Wujiang,Q,59,Ian Tan,57.89  25 (54)R1 6 (61)R2
59,2025,IFSC World Cup Wujiang,Q,60,Tzu-Yu Chou,58.13  6 (62)R1 21+ (53)R2
60,2025,IFSC World Cup Wujiang,Q,61,Taher Alhaddad,58.99  17+ (60)R1 20 (58)R2
61,2025,IFSC World Cup Wujiang,Q,62,Yousef Fatani,59.99  12+ (61)R1 11+ (59)R2
62,2025,IFSC World Cup Bali,Q,1,Sorato Anraku,2.12  32+ (1)R1 TOP (1)R2
63,2025,IFSC World Cup Bali,Q,1,Satone Yoshida,2.12  32+ (1)R1 TOP (1)R2
64,2025,IFSC World Cup Bali,Q,3,Alberto Ginés López,3.67  32+ (1)R1 36+ (4)R2
65,2025,IFSC World Cup Bali,Q,4,Neo Suzuki,4.74  30+ (6)R1 39+ (3)R2
66,2025,IFSC World Cup Bali,Q,5,Yannick Flohé,6.6  32+ (1)R1 34+ (11)R2
67,2025,IFSC World Cup Bali,Q,6,Jonas Utelli,6.71  30+ (6)R1 36 (6)R2
68,2025,IFSC World Cup Bali,Q,7,Sascha Lehmann,10.45  27 (11)R1 35 (9)R2
69,2025,IFSC World Cup Bali,Q,8,Putra Tri Ramadani,10.82  19+ (24)R1 36+ (4)R2
70,2025,IFSC World Cup Bali,Q,9,Jesse Grupper,11.09  32+ (1)R1 29+ (38)R2
71,2025,IFSC World Cup Bali,Q,10,Nino Grünenfelder,11.11  25+ (13)R1 35 (9)R2
72,2025,IFSC World Cup Bali,Q,11,Taisei Homma,12.91  27 (11)R1 34+ (11)R2
73,2025,IFSC World Cup Bali,Q,12,Raviandi Ramadhan,13.28  30+ (6)R1 33+ (22)R2
74,2025,IFSC World Cup Bali,Q,13,Giovanni Placci,14.36  30+ (6)R1 32 (26)R2
75,2025,IFSC World Cup Bali,Q,14,Max Bertone,16.82  21 (18)R1 34+ (11)R2
76,2025,IFSC World Cup Bali,Q,14,Dohyun Lee,16.82  21 (18)R1 34+ (11)R2
77,2025,IFSC World Cup Bali,Q,16,Victor Guillermin,16.88  16+ (30)R1 35+ (7)R2
78,2025,IFSC World Cup Bali,Q,16,Filip Schenk,16.88  16+ (30)R1 35+ (7)R2
79,2025,IFSC World Cup Bali,Q,18,Hiroto Shimizu,17.32  22 (15)R1 34 (19)R2
80,2025,IFSC World Cup Bali,Q,19,Shion Omata,18.14  22+ (14)R1 33+ (22)R2
81,2025,IFSC World Cup Bali,Q,20,Hyunseung Noh,18.26  20 (23)R1 34+ (11)R2
82,2025,IFSC World Cup Bali,Q,21,Ties Vancraeynest,19.69  21+ (16)R1 33+ (22)R2
83,2025,IFSC World Cup Bali,Q,22,Martin Stranik,19.75  21 (18)R1 34 (19)R2
84,2025,IFSC World Cup Bali,Q,23,Sebastian Halenke,20.25  27+ (10)R1 29+ (38)R2
85,2025,IFSC World Cup Bali,Q,24,Muhammad Rizky Syahrafli Simatupang,20.51  19 (29)R1 34+ (11)R2
86,2025,IFSC World Cup Bali,Q,25,Yannick Nagel,20.98  20+ (22)R1 34 (19)R2
87,2025,IFSC World Cup Bali,Q,26,Chih-En Fan,22.62  21+ (16)R1 31+ (30)R2
88,2025,IFSC World Cup Bali,Q,27,Musauwir Musauwir,23.16  21 (18)R1 32 (26)R2
89,2025,IFSC World Cup Bali,Q,28,Yufei Pan,23.47  16+ (30)R1 34+ (11)R2
90,2025,IFSC World Cup Bali,Q,28,Luka Potocar,23.47  16+ (30)R1 34+ (11)R2
91,2025,IFSC World Cup Bali,Q,30,Rhys Conlon,26.74  19+ (24)R1 32 (26)R2
92,2025,IFSC World Cup Bali,Q,31,Christoph Hanke,28.39  19+ (24)R1 31+ (30)R2
