,Year,Competition,Round,Rank,Name,Result
0,2025,IFSC World Cup Wujiang,S,1,Sorato Anraku,49+
1,2025,IFSC World Cup Wujiang,S,1,Alberto Ginés López,49+
2,2025,IFSC World Cup Wujiang,S,3,Filip Schenk,49+
3,2025,IFSC World Cup Wujiang,S,4,Neo Suzuki,47+
4,2025,IFSC World Cup Wujiang,S,4,Satone Yoshida,47+
5,2025,IFSC World Cup Wujiang,S,6,Yufei Pan,47+
6,2025,IFSC World Cup Wujiang,S,7,Luka Potocar,46
7,2025,IFSC World Cup Wujiang,S,8,Yannick Flohé,45
8,2025,IFSC World Cup Wujiang,S,9,Jonas Utelli,42+
9,2025,IFSC World Cup Wujiang,S,10,Hannes Van Duysen,41+
10,2025,IFSC World Cup Wujiang,S,11,Taisei Homma,41+
11,2025,IFSC World Cup Wujiang,S,12,Giovanni Placci,41+
12,2025,IFSC World Cup Wujiang,S,13,Jesse Grupper,41+
13,2025,IFSC World Cup Wujiang,S,14,Shion Omata,41+
14,2025,IFSC World Cup Wujiang,S,15,Toby Roberts,41
15,2025,IFSC World Cup Wujiang,S,16,Dohyun Lee,41
16,2025,IFSC World Cup Wujiang,S,17,Sascha Lehmann,41
17,2025,IFSC World Cup Wujiang,S,18,Max Bertone,40+
18,2025,IFSC World Cup Wujiang,S,19,Giorgio Tomatis,40+
19,2025,IFSC World Cup Wujiang,S,20,Sam Avezou,40
20,2025,IFSC World Cup Wujiang,S,21,Hiroto Shimizu,40
21,2025,IFSC World Cup Wujiang,S,22,Yannick Nagel,36+
22,2025,IFSC World Cup Wujiang,S,23,Joonha Shin,29+
23,2025,IFSC World Cup Wujiang,S,24,Nino Grünenfelder,28
24,2025,IFSC World Cup Bali,S,1,Satone Yoshida,36+
25,2025,IFSC World Cup Bali,S,2,Yannick Flohé,35+
26,2025,IFSC World Cup Bali,S,3,Alberto Ginés López,33+
27,2025,IFSC World Cup Bali,S,4,Neo Suzuki,33+
28,2025,IFSC World Cup Bali,S,5,Dohyun Lee,33+
29,2025,IFSC World Cup Bali,S,6,Shion Omata,33+
30,2025,IFSC World Cup Bali,S,7,Muhammad Rizky Syahrafli Simatupang,33+
31,2025,IFSC World Cup Bali,S,8,Max Bertone,31+
32,2025,IFSC World Cup Bali,S,9,Filip Schenk,31+
33,2025,IFSC World Cup Bali,S,10,Taisei Homma,30
34,2025,IFSC World Cup Bali,S,11,Hiroto Shimizu,30
35,2025,IFSC World Cup Bali,S,12,Hyunseung Noh,30
36,2025,IFSC World Cup Bali,S,13,Jesse Grupper,28+
37,2025,IFSC World Cup Bali,S,14,Giovanni Placci,25+
38,2025,IFSC World Cup Bali,S,15,Sascha Lehmann,25
39,2025,IFSC World Cup Bali,S,16,Sorato Anraku,24+
40,2025,IFSC World Cup Bali,S,17,Putra Tri Ramadani,24+
41,2025,IFSC World Cup Bali,S,18,Raviandi Ramadhan,24+
42,2025,IFSC World Cup Bali,S,19,Victor Guillermin,24+
43,2025,IFSC World Cup Bali,S,20,Ties Vancraeynest,24+
44,2025,IFSC World Cup Bali,S,21,Jonas Utelli,24
45,2025,IFSC World Cup Bali,S,22,Martin Stranik,24
46,2025,IFSC World Cup Bali,S,23,Nino Grünenfelder,21
47,2025,IFSC World Cup Bali,S,24,Sebastian Halenke,17+
48,2025,IFSC World Cup Innsbruck,S,1,Neo Suzuki,TOP
49,2025,IFSC World Cup Innsbruck,S,2,Toby Roberts,50+
50,2025,IFSC World Cup Innsbruck,S,3,Jesse Grupper,50+
51,2025,IFSC World Cup Innsbruck,S,4,Max Bertone,50
52,2025,IFSC World Cup Innsbruck,S,5,Alberto Ginés López,49+
53,2025,IFSC World Cup Innsbruck,S,6,Satone Yoshida,46+
54,2025,IFSC World Cup Innsbruck,S,7,Dohyun Lee,45+
55,2025,IFSC World Cup Innsbruck,S,8,Yannick Flohé,45+
56,2025,IFSC World Cup Innsbruck,S,9,Sorato Anraku,45
57,2025,IFSC World Cup Innsbruck,S,10,Sam Avezou,44+
